UTLA,UTLA_name,x_long,y_lat,area,RGN,RGN_name,popT,popT1,popT2,popT3,popM,popM1,popM2,popM3,popF,popF1,popF2,popF3,income,density
E08000010,Wigan,-2.58954,53.524164,188.174441,E12000002,North West,326088,71957,210295,43836,162617,37187,105245,20185,163471,34770,105050,23651,25308.5,1732.902717
E08000011,Knowsley,-2.834079,53.425158,86.525915,E12000002,North West,149571,35166,96602,17803,71112,18109,45362,7641,78459,17057,51240,10162,20870.40816,1728.62662
E08000012,Liverpool,-2.916694,53.403955,111.839161,E12000002,North West,494814,100806,342989,51019,246709,51541,172626,22542,248105,49265,170363,28477,21910.40268,4424.335766
E08000013,St. Helens,-2.723611,53.459502,136.420628,E12000002,North West,180049,38742,114843,26464,88644,19869,56880,11895,91405,18873,57963,14569,25147.05882,1319.807735
E08000014,Sefton,-3.003955,53.54979,153.079796,E12000002,North West,275396,56758,171259,47379,132494,29123,83314,20057,142902,27635,87945,27322,25620.63492,1799.035583
E08000015,Wirral,-3.069726,53.363302,157.070018,E12000002,North West,323235,71240,201665,50330,156507,36568,97964,21975,166728,34672,103701,28355,26240.7767,2057.903883
E08000016,Barnsley,-1.532499,53.535847,329.077113,E12000003,Yorkshire and The Humber,245199,53223,158303,33673,121017,27189,78705,15123,124182,26034,79598,18550,26375.5102,745.1110707
E08000017,Doncaster,-1.095758,53.544305,567.946048,E12000003,Yorkshire and The Humber,310542,69729,198966,41847,154404,35664,100165,18575,156138,34065,98801,23272,25684.02062,546.7808097
E08000018,Rotherham,-1.286247,53.408664,286.510075,E12000003,Yorkshire and The Humber,264671,60243,167080,37348,130055,30599,82782,16674,134616,29644,84298,20674,26568.86228,923.7755426
E08000019,Sheffield,-1.55049,53.404452,367.920317,E12000003,Yorkshire and The Humber,582506,124641,388894,68971,289846,63959,195451,30436,292660,60682,193443,38535,27207.24638,1583.239558
E08000021,Newcastle upon Tyne,-1.658267,55.008275,113.422024,E12000001,North East,300196,61852,207385,30959,151740,31832,106174,13734,148456,30020,101211,17225,24158.85714,2646.717008
E08000022,North Tyneside,-1.519273,55.028372,82.388903,E12000001,North East,205985,43415,133262,29308,99612,22387,64668,12557,106373,21028,68594,16751,25955.72519,2500.154663
E08000023,South Tyneside,-1.444457,54.962762,64.44308,E12000001,North East,150265,31529,97435,21301,72897,16153,47538,9206,77368,15376,49897,12095,24397.05882,2331.747645
E08000024,Sunderland,-1.452737,54.879956,137.429128,E12000001,North East,277417,57581,181880,37956,135291,29777,89083,16431,142126,27804,92797,21525,24277.83784,2018.618644
E08000025,Birmingham,-1.874698,52.488631,267.790598,E12000005,West Midlands,1141374,304171,730399,106804,565146,156572,362130,46444,576228,147599,368269,60360,22505.16432,4262.188473
E08000026,Coventry,-1.519795,52.416885,98.610359,E12000005,West Midlands,366785,83568,246718,36499,186154,43035,126947,16172,180631,40533,119771,20327,24645.12821,3719.538228
E08000027,Dudley,-2.108736,52.482863,97.931243,E12000005,West Midlands,320626,72875,199886,47865,157150,37119,98586,21445,163476,35756,101300,26420,24918.90547,3273.990916
E08000028,Sandwell,-2.008994,52.515455,85.569661,E12000005,West Midlands,327378,85723,205913,35742,162341,44123,102659,15559,165037,41600,103254,20183,20889.78495,3825.865338
E08000029,Solihull,-1.727082,52.413134,178.287871,E12000005,West Midlands,214909,49495,131853,33561,104605,25587,64302,14716,110304,23908,67551,18845,29666.41791,1205.404489
E08000030,Walsall,-1.966355,52.599276,103.985564,E12000005,West Midlands,283378,71588,175174,36616,139315,36676,86666,15973,144063,34912,88508,20643,22979.64072,2725.166736
E08000031,Wolverhampton,-2.121,52.58922,69.429611,E12000005,West Midlands,262008,64201,166111,31696,130125,32773,83324,14028,131883,31428,82787,17668,22782.91139,3773.721273
E08000032,Bradford,-1.85473,53.844725,366.398391,E12000003,Yorkshire and The Humber,537173,149183,332199,55791,264740,75514,165032,24194,272433,73669,167167,31597,22448.70968,1466.089953
E08000033,Calderdale,-1.97346,53.721202,363.939491,E12000003,Yorkshire and The Humber,210082,48504,134146,27432,103175,24666,66531,11978,106907,23838,67615,15454,25214.84375,577.244309
E08000034,Kirklees,-1.763227,53.627397,408.587514,E12000003,Yorkshire and The Humber,438727,105335,278806,54586,217408,53579,139810,24019,221319,51756,138996,30567,24411.96911,1073.765069
E08000035,Leeds,-1.506018,53.825769,551.774309,E12000003,Yorkshire and The Humber,789194,177204,523771,88219,387143,90760,258112,38271,402051,86444,265659,49948,25376.34855,1430.284062
E08000036,Wakefield,-1.411794,53.660674,338.565238,E12000003,Yorkshire and The Humber,345038,76529,222019,46490,169581,39102,109749,20730,175457,37427,112270,25760,26278.94737,1019.118212
E08000037,Gateshead,-1.683325,54.934984,142.347261,E12000001,North East,202508,41924,131961,28623,99759,21428,65649,12682,102749,20496,66312,15941,24483.33333,1422.633626
E09000001,City of London,-0.092102,51.514823,2.905505,E12000007,London,8706,1509,6121,1076,4788,752,3492,544,3918,757,2629,532,41800,2996.381008
E09000002,Barking and Dagenham,0.133566,51.545286,36.096775,E12000007,London,211998,66012,132059,13927,104984,34108,65127,5749,107014,31904,66932,8178,25777.27273,5873.045445
E09000003,Barnet,-0.209984,51.616035,86.75252,E12000007,London,392140,97033,254607,40500,194318,49949,126783,17586,197822,47084,127824,22914,32906.16114,4520.214514
E09000004,Bexley,0.140395,51.458821,60.560372,E12000007,London,247258,59816,157203,30239,119500,30886,75937,12677,127758,28930,81266,17562,32476.71233,4082.834894
E09000005,Brent,-0.267802,51.558552,43.237133,E12000007,London,330795,81707,221331,27757,168733,41927,114390,12416,162062,39780,106941,15341,27580.34682,7650.715416
E09000006,Bromley,0.05157,51.372003,150.146116,E12000007,London,331096,78548,209838,42710,159281,40282,100779,18220,171815,38266,109059,24490,36642.63959,2205.158607
E09000007,Camden,-0.157405,51.546385,21.787585,E12000007,London,262226,53823,186276,22127,132346,27473,95209,9664,129880,26350,91067,12463,32493.98496,12035.5698
E09000008,Croydon,-0.087125,51.355332,86.531528,E12000007,London,385346,99369,248974,37003,187187,50648,120288,16251,198159,48721,128686,20752,31089.54545,4453.243909
E09000009,Ealing,-0.331008,51.522472,55.525996,E12000007,London,341982,85578,226097,30307,172185,43983,114630,13572,169797,41595,111467,16735,30757.65306,6158.953006
E09000010,Enfield,-0.08723,51.651007,82.207098,E12000007,London,333869,88599,213581,31689,163380,45665,104019,13696,170489,42934,109562,17993,28274.86339,4061.315971
E09000011,Greenwich,0.056293,51.472815,47.339664,E12000007,London,286186,71943,193306,20937,144329,36737,98361,9231,141857,35206,94945,11706,30168.21192,6045.374551
E09000012,Hackney,-0.063317,51.552269,19.066861,E12000007,London,279665,66459,198992,14214,139304,33680,99219,6405,140361,32779,99773,7809,27142.36111,14667.59526
E09000013,Hammersmith and Fulham,-0.221304,51.495997,16.390524,E12000007,London,185426,38442,133063,13921,91592,19370,66269,5953,93834,19072,66794,7968,31726.54867,11313.00012
E09000014,Haringey,-0.107482,51.590369,29.592511,E12000007,London,270624,63405,188646,18573,136773,32252,96385,8136,133851,31153,92261,10437,30006.2069,9145.016454
E09000015,Harrow,-0.341236,51.597726,50.471829,E12000007,London,250149,61256,160881,28012,125133,31501,81037,12595,125016,29755,79844,15417,33148.17518,4956.210325
E09000016,Havering,0.221128,51.564396,112.371596,E12000007,London,257810,60409,162933,34468,123878,30696,78921,14261,133932,29713,84012,20207,32266,2294.263045
E09000017,Hillingdon,-0.445638,51.541506,115.709349,E12000007,London,304824,77128,198219,29477,153156,39651,100288,13217,151668,37477,97931,16260,31936.64596,2634.393873
E09000018,Hounslow,-0.367069,51.468376,55.97716,E12000007,London,270782,67728,180682,22372,137796,34707,93099,9990,132986,33021,87583,12382,30885.91549,4837.365811
E09000019,Islington,-0.110238,51.548469,14.862587,E12000007,London,239142,44308,180221,14613,120226,22530,91234,6462,118916,21778,88987,8151,29613.82114,16090.20018
E09000020,Kensington and Chelsea,-0.192753,51.501625,12.13336,E12000007,London,156197,30092,108760,17345,78419,15516,54988,7915,77778,14576,53772,9430,34186.40777,12873.35083
E09000021,Kingston upon Thames,-0.286899,51.387893,37.237162,E12000007,London,175470,40861,117355,17254,86734,20556,58664,7514,88736,20305,58691,9740,38665.30612,4712.228069
E09000022,Lambeth,-0.118265,51.453067,26.813994,E12000007,London,325917,65534,241844,18539,163946,33427,122428,8091,161971,32107,119416,10448,30745.50562,12154.73532
E09000023,Lewisham,-0.020232,51.448095,35.15352,E12000007,London,303536,71516,212033,19987,149849,36630,104623,8596,153687,34886,107410,11391,30672.78107,8634.583393
E09000024,Merton,-0.197266,51.409951,37.628932,E12000007,London,206186,49294,138637,18255,101729,25387,68407,7935,104457,23907,70230,10320,35299.19355,5479.453948
E09000025,Newham,0.036415,51.528356,36.243768,E12000007,London,352005,90620,243927,17458,186542,46310,132411,7821,165463,44310,111516,9637,26388.41463,9712.152445
E09000026,Redbridge,0.075884,51.585682,56.410474,E12000007,London,303858,79888,197122,26848,153677,41412,100425,11840,150181,38476,96697,15008,31101.24224,5386.552859
E09000027,Richmond upon Thames,-0.312925,51.442185,57.390096,E12000007,London,196904,47483,127544,21877,95694,24161,62063,9470,101210,23322,65481,12407,40240.86957,3430.975268
E09000028,Southwark,-0.074585,51.473125,28.84559,E12000007,London,317256,68158,231025,18073,158418,34787,115852,7779,158838,33371,115173,10294,31007.22892,10998.42298
E09000029,Sutton,-0.177552,51.362085,43.856234,E12000007,London,204525,50182,131655,22688,99777,25875,64107,9795,104748,24307,67548,12893,35217.35537,4663.533125
E09000030,Tower Hamlets,-0.035564,51.517182,19.732772,E12000007,London,317705,74132,230381,13192,165849,37894,121959,5996,151856,36238,108422,7196,28506.94444,16100.37353
E09000031,Waltham Forest,-0.012628,51.594041,38.813842,E12000007,London,276700,69846,186243,20611,139366,35870,94450,9046,137334,33976,91793,11565,29763.19444,7128.900046
E09000032,Wandsworth,-0.186407,51.451368,34.262241,E12000007,London,326474,66304,238508,21662,156569,33774,113505,9290,169905,32530,125003,12372,36289.94413,9528.682026
E09000033,Westminster,-0.161251,51.513893,21.484296,E12000007,London,255324,50004,183404,21916,133472,25765,97553,10154,121852,24239,85851,11762,32839.0625,11884.21534
E10000002,Buckinghamshire,-0.812107,51.78533,1565.081452,E12000008,South East,540059,130683,335227,74149,264741,66719,165342,32680,275318,63964,169885,41469,33653.60502,345.0676636
E10000003,Cambridgeshire,0.033443,52.339765,3052.799867,E12000006,East of England,651482,143047,419628,88807,325743,73611,211655,40477,325739,69436,207973,48330,32445.33333,213.4047525
E10000006,Cumbria,-2.899427,54.590778,6821.961857,E12000002,North West,498888,97662,314569,86657,246011,50229,155956,39826,252877,47433,158613,46831,26594.70405,73.12969648
E10000007,Derbyshire,-1.615598,53.142227,2550.769115,E12000004,East Midlands,796142,161895,511121,123126,391261,82744,253006,55511,404881,79151,258115,67615,28874.33809,312.1184098
E10000008,Devon,-3.810423,50.761584,6567.281804,E12000009,South West,795286,154245,494703,146338,388121,79363,243089,65669,407165,74882,251614,80669,27131.72867,121.0981992
E10000011,East Sussex,0.274919,50.942058,1712.754808,E12000008,South East,554590,112242,336553,105795,268707,57923,164134,46650,285883,54319,172419,59145,28901.82371,323.799996
E10000012,Essex,0.560551,51.811511,3471.779572,E12000006,East of England,1477764,327372,927993,222399,722228,167985,455203,99040,755536,159387,472790,123359,29887.27064,425.6502953
E10000013,Gloucestershire,-2.119283,51.827514,2653.355971,E12000009,South West,633558,135394,400605,97559,310837,69059,198129,43649,322721,66335,202476,53910,29029.75871,238.7761035
E10000014,Hampshire,-1.287994,51.068014,3679.004974,E12000008,South East,1376316,299440,859210,217666,673380,153580,422395,97405,702936,145860,436815,120261,32767.30769,374.100065
E10000015,Hertfordshire,-0.216951,51.829744,1643.025567,E12000006,East of England,1184365,284467,752012,147886,579948,145782,369481,64685,604417,138685,382531,83201,31651.88406,720.8439259
E10000016,Kent,0.73152,51.219423,3544.712441,E12000008,South East,1568623,358376,980912,229335,770053,184042,483536,102475,798570,174334,497376,126860,29600.55432,442.5247537
E10000017,Lancashire,-2.612159,53.845701,2904.177744,E12000002,North West,1210053,263381,767338,179334,597400,135560,381009,80831,612653,127821,386329,98503,25517.46032,416.659415
E10000018,Leicestershire,-1.113558,52.667702,2083.873597,E12000004,East Midlands,698268,148505,447827,101936,345429,76466,222875,46088,352839,72039,224952,55848,30939.39394,335.0817444
