UTLA,UTLA_name,x_long,y_lat,area,RGN,RGN_name,popT,popT1,popT2,popT3,popM,popM1,popM2,popM3,popF,popF1,popF2,popF3,income,density
E06000001,Hartlepool,-1.259178,54.66939,93.88836,E12000001,North East,93242,21110,59469,12663,45524,10799,29124,5601,47718,10311,30345,7062,22125.86207,993.1156535
E06000002,Middlesbrough,-1.222305,54.542013,53.861462,E12000001,North East,140545,34220,90148,16177,69436,17465,44800,7171,71109,16755,45348,9006,22062.7907,2609.379597
E06000003,Redcar and Cleveland,-1.020671,54.55162,244.909063,E12000001,North East,136718,29141,85484,22093,66417,15025,41426,9966,70301,14116,44058,12127,24446.59091,558.2398557
E06000004,Stockton-on-Tees,-1.332252,54.561823,203.931577,E12000001,North East,197213,45744,126260,25209,97322,23574,62489,11259,99891,22170,63771,13950,25865.83333,967.054749
E06000005,Darlington,-1.552639,54.548715,197.462873,E12000001,North East,106566,23625,67313,15628,51919,12070,32850,6999,54647,11555,34463,8629,24292.30769,539.6761345
E06000006,Halton,-2.712169,53.345142,79.109982,E12000002,North West,128432,30090,82624,15718,62649,15352,40150,7147,65783,14738,42474,8571,23854.43038,1623.461373
E06000007,Warrington,-2.562761,53.39911,180.630159,E12000002,North West,209547,46849,134573,28125,104059,24160,67428,12471,105488,22689,67145,15654,28052.75591,1160.088665
E06000008,Blackburn with Darwen,-2.467586,53.69266,137.044978,E12000002,North West,148942,40504,93544,14894,74605,20539,47284,6782,74337,19965,46260,8112,21887.91209,1086.811076
E06000009,Blackpool,-3.029223,53.817874,34.906545,E12000002,North West,139305,30504,88088,20713,69038,15545,44241,9252,70267,14959,43847,11461,19760.6383,3990.79886
E06000010,"Kingston upon Hull, City of",-0.334977,53.764128,71.457957,E12000003,Yorkshire and The Humber,260645,59690,173665,27290,131329,30786,88335,12208,129316,28904,85330,15082,22265.06024,3647.529414
E06000011,East Riding of Yorkshire,-0.491724,53.874482,2408.916705,E12000003,Yorkshire and The Humber,339614,66562,209801,63251,166675,34307,103857,28511,172939,32255,105944,34740,28407.14286,140.9820436
E06000012,North East Lincolnshire,-0.138497,53.542631,191.84569,E12000003,Yorkshire and The Humber,159821,36251,100090,23480,78411,18389,49612,10410,81410,17862,50478,13070,23677.35849,833.0705788
E06000013,North Lincolnshire,-0.593759,53.590819,846.302867,E12000003,Yorkshire and The Humber,172005,37591,108961,25453,85203,19187,54485,11531,86802,18404,54476,13922,26816.83168,203.2428421
E06000014,York,-1.061457,53.958782,271.921788,E12000003,Yorkshire and The Humber,209893,39185,142456,28252,102870,20026,70674,12170,107023,19159,71782,16082,29416.66667,771.8873929
E06000015,Derby,-1.468343,52.91256,78.007129,E12000004,East Midlands,257174,62990,163390,30794,127252,32273,81598,13381,129922,30717,81792,17413,27093.37748,3296.801245
E06000016,Leicester,-1.128464,52.637941,73.330165,E12000004,East Midlands,355218,88682,237520,29016,177932,45269,120146,12517,177286,43413,117374,16499,20796.875,4844.091105
